shape_id,shape_pt_lat,shape_pt_lon,shape_pt_sequence,shape_dist_traveled
W,40.737839,-73.990111,390,
W,40.737887,-73.990099,391,
W,40.737936,-73.990088,392,
W,40.737985,-73.990076,393,
W,40.738035,-73.990063,394,
W,40.738085,-73.990051,395,
W,40.738136,-73.990037,396,
W,40.739792,-73.989604,397,
W,40.739844,-73.989590,398,
W,40.739894,-73.989578,399,
W,40.739945,-73.989566,400,
W,40.739995,-73.989554,401,
W,40.740045,-73.989543,402,
W,40.740095,-73.989532,403,
W,40.740145,-73.989522,404,
W,40.740195,-73.989512,405,
W,40.740244,-73.989503,406,
W,40.740294,-73.989494,407,
W,40.740343,-73.989485,408,
W,40.740392,-73.989477,409,
W,40.740441,-73.989469,410,
W,40.740489,-73.989462,411,
W,40.740538,-73.989455,412,
W,40.741303,-73.989344,413,
W,40.742643,-73.989192,414,
W,40.742700,-73.989186,415,
W,40.742757,-73.989180,416,
W,40.742812,-73.989173,417,
W,40.742867,-73.989166,418,
W,40.742920,-73.989160,419,
W,40.742973,-73.989153,420,
W,40.743025,-73.989146,421,
W,40.743075,-73.989138,422,
W,40.743125,-73.989131,423,
W,40.743173,-73.989123,424,
W,40.743221,-73.989116,425,
W,40.743268,-73.989108,426,
W,40.743314,-73.989100,427,
W,40.743358,-73.989091,428,
W,40.743402,-73.989083,429,
W,40.745494,-73.988691,430,
W,40.749567,-73.987950,431,
W,40.751815,-73.987570,432,
W,40.751893,-73.987556,433,
W,40.751971,-73.987541,434,
W,40.752049,-73.987526,435,
W,40.752127,-73.987510,436,
W,40.752204,-73.987493,437,
W,40.752282,-73.987475,438,
W,40.752360,-73.987457,439,
W,40.752438,-73.987437,440,
W,40.752516,-73.987417,441,
W,40.752593,-73.987396,442,
W,40.752671,-73.987375,443,
W,40.752749,-73.987353,444,
W,40.752827,-73.987329,445,
W,40.752904,-73.987306,446,
W,40.752982,-73.987281,447,
W,40.754672,-73.986754,448,
W,40.756430,-73.986201,449,
W,40.756569,-73.986154,450,
W,40.756705,-73.986106,451,
W,40.756839,-73.986056,452,
W,40.756971,-73.986003,453,
W,40.757101,-73.985949,454,
W,40.757229,-73.985893,455,
W,40.757354,-73.985835,456,
W,40.757477,-73.985775,457,
W,40.757599,-73.985712,458,
W,40.757718,-73.985648,459,
W,40.757835,-73.985582,460,
W,40.757949,-73.985514,461,
W,40.758062,-73.985444,462,
W,40.758173,-73.985371,463,
W,40.758280,-73.985298,464,
W,40.759901,-73.984139,465,
W,40.764664,-73.980658,466,
W,40.766254,-73.979499,467,
W,40.766329,-73.979438,468,
W,40.766396,-73.979375,469,
W,40.766455,-73.979308,470,
W,40.766507,-73.979239,471,
W,40.766550,-73.979166,472,
W,40.766585,-73.979091,473,
W,40.766612,-73.979012,474,
W,40.766632,-73.978931,475,
W,40.766643,-73.978846,476,
W,40.766646,-73.978759,477,
W,40.766641,-73.978668,478,
W,40.766628,-73.978575,479,
W,40.766606,-73.978478,480,
W,40.766577,-73.978379,481,
W,40.766540,-73.978276,482,
W,40.764825,-73.974217,483,
W,40.764816,-73.974193,484,
W,40.764808,-73.974170,485,
W,40.764800,-73.974146,486,
W,40.764793,-73.974121,487,
W,40.764787,-73.974097,488,
W,40.764782,-73.974073,489,
W,40.764777,-73.974048,490,
W,40.764773,-73.974024,491,
W,40.764770,-73.973999,492,
W,40.764768,-73.973974,493,
W,40.764766,-73.973949,494,
W,40.764765,-73.973924,495,
W,40.764765,-73.973898,496,
W,40.764766,-73.973873,497,
W,40.764767,-73.973847,498,
W,40.764811,-73.973347,499,
W,40.764873,-73.972718,500,
W,40.764873,-73.972694,501,
W,40.764873,-73.972670,502,
W,40.764872,-73.972647,503,
W,40.764870,-73.972623,504,
W,40.764867,-73.972599,505,
W,40.764864,-73.972575,506,
W,40.764859,-73.972550,507,
W,40.764854,-73.972526,508,
W,40.764849,-73.972501,509,
W,40.764842,-73.972476,510,
W,40.764835,-73.972450,511,
W,40.764827,-73.972425,512,
W,40.764819,-73.972399,513,
W,40.764809,-73.972373,514,
W,40.764799,-73.972347,515,
W,40.762660,-73.967258,516,
W,40.762660,-73.967258,837,
W,40.759230,-73.959131,838,
W,40.753765,-73.946938,839,
W,40.752553,-73.944152,840,
W,40.751651,-73.942083,841,
W,40.751632,-73.942041,842,
W,40.751612,-73.941999,843,
W,40.751593,-73.941960,844,
W,40.751573,-73.941921,845,
W,40.751552,-73.941884,846,
W,40.751532,-73.941848,847,
W,40.751511,-73.941814,848,
W,40.751491,-73.941781,849,
W,40.751469,-73.941749,850,
W,40.751448,-73.941718,851,
W,40.751427,-73.941689,852,
W,40.751405,-73.941661,853,
W,40.751383,-73.941634,854,
W,40.751360,-73.941609,855,
W,40.751338,-73.941585,856,
W,40.751314,-73.941563,857,
W,40.751290,-73.941539,858,
W,40.751266,-73.941514,859,
W,40.751241,-73.941487,860,
W,40.751217,-73.941459,861,
W,40.751192,-73.941429,862,
W,40.751167,-73.941397,863,
W,40.751143,-73.941364,864,
W,40.751117,-73.941329,865,
W,40.751092,-73.941293,866,
W,40.751067,-73.941255,867,
W,40.751041,-73.941215,868,
W,40.751016,-73.941174,869,
W,40.750990,-73.941131,870,
W,40.750963,-73.941087,871,
W,40.750582,-73.940202,872,
W,40.750134,-73.939174,873,
W,40.750093,-73.939074,874,
W,40.750049,-73.938974,875,
W,40.750003,-73.938874,876,
W,40.749956,-73.938774,877,
W,40.749907,-73.938674,878,
W,40.749856,-73.938574,879,
W,40.749804,-73.938475,880,
W,40.749750,-73.938375,881,
W,40.749694,-73.938276,882,
W,40.749637,-73.938177,883,
W,40.749578,-73.938078,884,
W,40.749518,-73.937978,885,
W,40.749456,-73.937880,886,
W,40.749392,-73.937781,887,
W,40.749327,-73.937683,888,
W,40.749282,-73.937599,889,
W,40.749245,-73.937515,890,
W,40.749215,-73.937431,891,
W,40.749192,-73.937348,892,
W,40.749176,-73.937265,893,
W,40.749167,-73.937182,894,
W,40.749166,-73.937100,895,
W,40.749172,-73.937018,896,
W,40.749185,-73.936937,897,
W,40.749205,-73.936856,898,
W,40.749233,-73.936776,899,
W,40.749267,-73.936696,900,
W,40.749309,-73.936617,901,
W,40.749359,-73.936538,902,
W,40.749415,-73.936459,903,
W,40.750639,-73.935135,904,
W,40.750674,-73.935097,905,
W,40.750709,-73.935059,906,
W,40.750743,-73.935021,907,
W,40.750777,-73.934984,908,
W,40.750810,-73.934946,909,
W,40.750842,-73.934908,910,
W,40.750874,-73.934871,911,
W,40.750906,-73.934833,912,
W,40.750936,-73.934796,913,
