shape_id,shape_pt_lat,shape_pt_lon,shape_pt_sequence,shape_dist_traveled
6..N07R,40.751491,-73.978002,157,
6..N07R,40.751509,-73.977964,158,
6..N07R,40.751525,-73.977925,159,
6..N07R,40.75154,-73.977884,160,
6..N07R,40.751553,-73.977843,161,
6..N07R,40.751565,-73.9778,162,
6..N07R,40.751575,-73.977756,163,
6..N07R,40.751776,-73.976848,164,
6..N07R,40.751967,-73.976038,165,
6..N07R,40.751983,-73.975979,166,
6..N07R,40.751998,-73.975923,167,
6..N07R,40.752014,-73.975869,168,
6..N07R,40.752032,-73.975817,169,
6..N07R,40.752051,-73.975768,170,
6..N07R,40.752072,-73.975721,171,
6..N07R,40.752095,-73.975676,172,
6..N07R,40.752119,-73.975634,173,
6..N07R,40.752145,-73.975594,174,
6..N07R,40.752173,-73.975556,175,
6..N07R,40.752202,-73.975521,176,
6..N07R,40.752233,-73.975487,177,
6..N07R,40.752266,-73.975456,178,
6..N07R,40.7523,-73.975427,179,
6..N07R,40.752336,-73.9754,180,
6..N07R,40.757107,-73.97192,181,
6..N07R,40.762526,-73.967967,182,
6..N07R,40.768141,-73.96387,183,
6..N07R,40.77362,-73.959874,184,
6..N07R,40.779492,-73.955589,185,
6..N07R,40.785672,-73.95107,186,
6..N07R,40.7906,-73.947478,187,
6..N07R,40.79502,-73.94425,188,
6..N07R,40.798629,-73.941617,189,
6..N07R,40.804138,-73.937594,190,
6..N07R,40.804172,-73.93757,191,
6..N07R,40.808118,-73.934685,192,
6..N07R,40.808149,-73.934662,193,
6..N07R,40.808179,-73.934639,194,
6..N07R,40.808209,-73.934616,195,
6..N07R,40.808239,-73.934592,196,
6..N07R,40.808267,-73.934569,197,
6..N07R,40.808296,-73.934546,198,
6..N07R,40.808323,-73.934523,199,
6..N07R,40.808351,-73.934501,200,
6..N07R,40.808377,-73.934478,201,
6..N07R,40.808403,-73.934455,202,
6..N07R,40.808429,-73.934433,203,
6..N07R,40.808454,-73.93441,204,
6..N07R,40.808479,-73.934388,205,
6..N07R,40.808503,-73.934366,206,
6..N07R,40.808526,-73.934344,207,
6..N07R,40.812093,-73.930931,208,
6..N07R,40.812201,-73.930756,209,
6..N07R,40.812284,-73.930598,210,
6..N07R,40.812353,-73.930441,211,
6..N07R,40.812408,-73.930284,212,
6..N07R,40.812449,-73.930128,213,
6..N07R,40.812475,-73.929972,214,
6..N07R,40.812488,-73.929817,215,
6..N07R,40.812486,-73.929661,216,
6..N07R,40.812471,-73.929507,217,
6..N07R,40.812441,-73.929352,218,
6..N07R,40.812397,-73.929199,219,
6..N07R,40.812339,-73.929045,220,
6..N07R,40.812267,-73.928892,221,
6..N07R,40.812181,-73.928739,222,
6..N07R,40.812079,-73.928587,223,
6..N07R,40.81098,-73.927147,224,
6..N07R,40.810957,-73.927116,225,
6..N07R,40.810933,-73.927084,226,
6..N07R,40.81091,-73.92705,227,
6..N07R,40.810887,-73.927015,228,
6..N07R,40.810863,-73.926978,229,
6..N07R,40.81084,-73.926939,230,
6..N07R,40.810817,-73.9269,231,
6..N07R,40.810795,-73.926858,232,
6..N07R,40.810772,-73.926815,233,
6..N07R,40.810749,-73.926771,234,
6..N07R,40.810727,-73.926725,235,
6..N07R,40.810704,-73.926677,236,
6..N07R,40.810682,-73.926628,237,
6..N07R,40.810659,-73.926578,238,
6..N07R,40.810637,-73.926526,239,
6..N07R,40.810476,-73.926138,240,
6..N07R,40.807566,-73.91924,241,
6..N07R,40.805368,-73.914042,242,
6..N07R,40.804902,-73.912932,243,
6..N07R,40.804878,-73.912872,244,
6..N07R,40.804858,-73.912813,245,
6..N07R,40.80484,-73.912754,246,
6..N07R,40.804826,-73.912696,247,
6..N07R,40.804815,-73.91264,248,
6..N07R,40.804807,-73.912584,249,
6..N07R,40.804802,-73.912528,250,
6..N07R,40.804801,-73.912474,251,
6..N07R,40.804802,-73.91242,252,
6..N07R,40.804807,-73.912368,253,
6..N07R,40.804815,-73.912316,254,
6..N07R,40.804826,-73.912264,255,
6..N07R,40.804841,-73.912214,256,
6..N07R,40.804858,-73.912165,257,
6..N07R,40.804879,-73.912116,258,
6..N07R,40.806334,-73.90891,259,
6..N07R,40.806368,-73.90884,260,
6..N07R,40.806404,-73.908774,261,
6..N07R,40.806442,-73.908711,262,
6..N07R,40.806483,-73.908651,263,
6..N07R,40.806525,-73.908595,264,
6..N07R,40.80657,-73.908543,265,
6..N07R,40.806618,-73.908493,266,
6..N07R,40.806667,-73.908447,267,
6..N07R,40.806719,-73.908405,268,
6..N07R,40.806773,-73.908366,269,
6..N07R,40.806829,-73.90833,270,
6..N07R,40.806887,-73.908298,271,
6..N07R,40.806948,-73.908269,272,
6..N07R,40.807011,-73.908244,273,
6..N07R,40.807076,-73.908222,274,
6..N07R,40.808719,-73.907657,275,
6..N07R,40.809654,-73.907327,276,
6..N07R,40.809831,-73.907266,277,
6..N07R,40.809947,-73.907216,278,
6..N07R,40.809991,-73.907191,279,
6..N07R,40.810034,-73.907163,280,
6..N07R,40.810076,-73.907133,281,
6..N07R,40.810117,-73.907101,282,
6..N07R,40.810156,-73.907067,283,
6..N07R,40.810194,-73.907031,284,
6..N07R,40.810231,-73.906993,285,
6..N07R,40.810267,-73.906952,286,
6..N07R,40.810301,-73.90691,287,
6..N07R,40.811733,-73.904713,288,
6..N07R,40.811765,-73.904667,289,
6..N07R,40.811796,-73.904622,290,
6..N07R,40.811826,-73.904577,291,
6..N07R,40.811855,-73.904533,292,
6..N07R,40.811883,-73.90449,293,
6..N07R,40.811911,-73.904447,294,
6..N07R,40.811937,-73.904406,295,
6..N07R,40.811963,-73.904365,296,
6..N07R,40.811988,-73.904324,297,
6..N07R,40.812011,-73.904285,298,
6..N07R,40.812034,-73.904246,299,
6..N07R,40.812057,-73.904208,300,
6..N07R,40.812078,-73.904171,301,
6..N07R,40.812098,-73.904134,302,
6..N07R,40.812118,-73.904098,303,
6..N07R,40.812128,-73.904076,304,
6..N07R,40.812138,-73.904054,305,
6..N07R,40.812148,-73.904032,306,
6..N07R,40.812157,-73.90401,307,
6..N07R,40.812166,-73.903988,308,
6..N07R,40.812174,-73.903967,309,
6..N07R,40.812183,-73.903946,310,
6..N07R,40.812191,-73.903924,311,
6..N07R,40.812199,-73.903904,312,
6..N07R,40.812206,-73.903883,313,
6..N07R,40.812214,-73.903862,314,
6..N07R,40.812221,-73.903842,315,
6..N07R,40.812227,-73.903822,316,
6..N07R,40.812234,-73.903802,317,
6..N07R,40.81224,-73.903781,318,
6..N07R,40.813447,-73.899485,319,
6..N07R,40.813461,-73.899436,320,
6..N07R,40.813475,-73.899388,321,
6..N07R,40.813489,-73.899341,322,
6..N07R,40.813505,-73.899295,323,
6..N07R,40.813522,-73.899251,324,
6..N07R,40.813539,-73.899208,325,
6..N07R,40.813557,-73.899166,326,
6..N07R,40.813577,-73.899126,327,
6..N07R,40.813597,-73.899087,328,
6..N07R,40.813618,-73.89905,329,
6..N07R,40.81364,-73.899013,330,
